region,segment,technology,unit,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
denmark,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
denmark,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denmark,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
denmark,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
denmark,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
germany,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
germany,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
germany,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
germany,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
germany,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
germany,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
germany,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
germany,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
estonia,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
estonia,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
estonia,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
estonia,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
estonia,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estonia,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
estonia,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
estonia,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
ireland,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ireland,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ireland,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ireland,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
ireland,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ireland,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ireland,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ireland,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
greece,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
greece,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
greece,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
greece,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
greece,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greece,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
greece,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
greece,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
spain,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
spain,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
spain,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
spain,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
spain,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spain,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
spain,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
spain,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
france,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
france,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
france,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
france,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
france,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
france,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
france,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
france,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
croatia,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
croatia,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
croatia,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
croatia,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
croatia,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
croatia,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
croatia,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
croatia,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
italy,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
italy,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
italy,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
italy,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
italy,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italy,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
italy,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
italy,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
cyprus,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cyprus,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
cyprus,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
cyprus,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
cyprus,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyprus,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
cyprus,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
cyprus,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
latvia,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
latvia,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
latvia,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
latvia,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
latvia,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
latvia,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
latvia,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
latvia,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
lithuania,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lithuania,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
lithuania,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
lithuania,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
lithuania,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lithuania,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
lithuania,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
lithuania,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
luxembourg,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
luxembourg,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
luxembourg,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
luxembourg,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
luxembourg,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luxembourg,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
luxembourg,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
luxembourg,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
hungary,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
hungary,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
hungary,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
hungary,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
hungary,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hungary,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
hungary,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
hungary,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
malta,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
malta,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
malta,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
malta,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
malta,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malta,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
malta,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
malta,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
netherlands,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
netherlands,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
netherlands,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
netherlands,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
netherlands,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netherlands,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
netherlands,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
netherlands,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
austria,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
austria,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
austria,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
austria,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
austria,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
austria,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
